#ANO;ESTADO;MUNICIPIO;ESFERA_GOVERNO;ETAPA_ENSINO;QT_ALUNOS_PNAE
"2016";"AC";"ACRELANDIA";"ESTADUAL";"ATENDIMENTO EDUCACIONAL ESPECIALIZADO (AEE)";12
"2016";"AC";"ACRELANDIA";"ESTADUAL";"EDUCAÇÃO DE JOVENS E ADULTOS (EJA)";277
"2016";"AC";"ACRELANDIA";"ESTADUAL";"ENSINO FUNDAMENTAL";934
"2016";"AC";"ACRELANDIA";"ESTADUAL";"ENSINO MÉDIO";636
"2016";"AC";"ACRELANDIA";"ESTADUAL";"PRÉ-ESCOLA";15
"2016";"AC";"ACRELANDIA";"MUNICIPAL";"ATENDIMENTO EDUCACIONAL ESPECIALIZADO (AEE)";37
"2016";"AC";"ACRELANDIA";"MUNICIPAL";"CRECHE";288
"2016";"AC";"ACRELANDIA";"MUNICIPAL";"EDUCAÇÃO DE JOVENS E ADULTOS (EJA)";19
"2016";"AC";"ACRELANDIA";"MUNICIPAL";"ENSINO FUNDAMENTAL";1671
"2016";"AC";"ACRELANDIA";"MUNICIPAL";"PRÉ-ESCOLA";370
"2016";"AC";"ASSIS BRASIL";"ESTADUAL";"ATENDIMENTO EDUCACIONAL ESPECIALIZADO (AEE)";16
"2016";"AC";"ASSIS BRASIL";"ESTADUAL";"EDUCAÇÃO DE JOVENS E ADULTOS (EJA)";239
"2016";"AC";"ASSIS BRASIL";"ESTADUAL";"ENSINO FUNDAMENTAL";664
"2016";"AC";"ASSIS BRASIL";"ESTADUAL";"ENSINO MÉDIO";284
"2016";"AC";"ASSIS BRASIL";"ESTADUAL";"INDÍGENA";623
"2016";"AC";"ASSIS BRASIL";"MUNICIPAL";"ATENDIMENTO EDUCACIONAL ESPECIALIZADO (AEE)";17
"2016";"AC";"ASSIS BRASIL";"MUNICIPAL";"CRECHE";78
"2016";"AC";"ASSIS BRASIL";"MUNICIPAL";"EDUCAÇÃO DE JOVENS E ADULTOS (EJA)";48
"2016";"AC";"ASSIS BRASIL";"MUNICIPAL";"ENSINO FUNDAMENTAL";1087
"2016";"AC";"ASSIS BRASIL";"MUNICIPAL";"PRÉ-ESCOLA";311
"2016";"AC";"BRASILEIA";"ESTADUAL";"ATENDIMENTO EDUCACIONAL ESPECIALIZADO (AEE)";53
"2016";"AC";"BRASILEIA";"ESTADUAL";"EDUCAÇÃO DE JOVENS E ADULTOS (EJA)";547
"2016";"AC";"BRASILEIA";"ESTADUAL";"ENSINO FUNDAMENTAL";2231
"2016";"AC";"BRASILEIA";"ESTADUAL";"ENSINO MÉDIO";1186
"2016";"AC";"BRASILEIA";"MUNICIPAL";"ATENDIMENTO EDUCACIONAL ESPECIALIZADO (AEE)";61
"2016";"AC";"BRASILEIA";"MUNICIPAL";"CRECHE";308
"2016";"AC";"BRASILEIA";"MUNICIPAL";"EDUCAÇÃO DE JOVENS E ADULTOS (EJA)";181
"2016";"AC";"BRASILEIA";"MUNICIPAL";"ENSINO FUNDAMENTAL";2321
"2016";"AC";"BRASILEIA";"MUNICIPAL";"PRÉ-ESCOLA";731
"2016";"AC";"BUJARI";"ESTADUAL";"ATENDIMENTO EDUCACIONAL ESPECIALIZADO (AEE)";22
"2016";"AC";"BUJARI";"ESTADUAL";"EDUCAÇÃO DE JOVENS E ADULTOS (EJA)";588
"2016";"AC";"BUJARI";"ESTADUAL";"ENSINO FUNDAMENTAL";1194
"2016";"AC";"BUJARI";"ESTADUAL";"ENSINO MÉDIO";441
"2016";"AC";"CAPIXABA";"ESTADUAL";"ATENDIMENTO EDUCACIONAL ESPECIALIZADO (AEE)";14
"2016";"AC";"CAPIXABA";"ESTADUAL";"EDUCAÇÃO DE JOVENS E ADULTOS (EJA)";313
"2016";"AC";"CAPIXABA";"ESTADUAL";"ENSINO FUNDAMENTAL";673
"2016";"AC";"CAPIXABA";"ESTADUAL";"ENSINO MÉDIO";517
"2016";"AC";"CAPIXABA";"MUNICIPAL";"ATENDIMENTO EDUCACIONAL ESPECIALIZADO (AEE)";33
"2016";"AC";"CAPIXABA";"MUNICIPAL";"CRECHE";40
"2016";"AC";"CAPIXABA";"MUNICIPAL";"EDUCAÇÃO DE JOVENS E ADULTOS (EJA)";325
"2016";"AC";"CAPIXABA";"MUNICIPAL";"ENSINO FUNDAMENTAL";1572
"2016";"AC";"CAPIXABA";"MUNICIPAL";"PRÉ-ESCOLA";370
"2016";"AC";"CRUZEIRO DO SUL";"ESTADUAL";"ATENDIMENTO EDUCACIONAL ESPECIALIZADO (AEE)";600
"2016";"AC";"CRUZEIRO DO SUL";"ESTADUAL";"EDUCAÇÃO DE JOVENS E ADULTOS (EJA)";1959
"2016";"AC";"CRUZEIRO DO SUL";"ESTADUAL";"ENSINO FUNDAMENTAL";12925
"2016";"AC";"CRUZEIRO DO SUL";"ESTADUAL";"ENSINO MÉDIO";5633
"2016";"AC";"CRUZEIRO DO SUL";"ESTADUAL";"INDÍGENA";233
"2016";"AC";"CRUZEIRO DO SUL";"MUNICIPAL";"ATENDIMENTO EDUCACIONAL ESPECIALIZADO (AEE)";335
"2016";"AC";"CRUZEIRO DO SUL";"MUNICIPAL";"CRECHE";1492
"2016";"AC";"CRUZEIRO DO SUL";"MUNICIPAL";"EDUCAÇÃO DE JOVENS E ADULTOS (EJA)";449
"2016";"AC";"CRUZEIRO DO SUL";"MUNICIPAL";"ENSINO FUNDAMENTAL";7055
"2016";"AC";"CRUZEIRO DO SUL";"MUNICIPAL";"ENSINO MÉDIO";106
"2016";"AC";"CRUZEIRO DO SUL";"MUNICIPAL";"PRÉ-ESCOLA";2993
"2016";"AC";"EPITACIOLANDIA";"ESTADUAL";"ATENDIMENTO EDUCACIONAL ESPECIALIZADO (AEE)";27
"2016";"AC";"EPITACIOLANDIA";"ESTADUAL";"EDUCAÇÃO DE JOVENS E ADULTOS (EJA)";384
"2016";"AC";"EPITACIOLANDIA";"ESTADUAL";"ENSINO FUNDAMENTAL";1073
"2016";"AC";"EPITACIOLANDIA";"ESTADUAL";"ENSINO MÉDIO";767
"2016";"AC";"EPITACIOLANDIA";"MUNICIPAL";"ATENDIMENTO EDUCACIONAL ESPECIALIZADO (AEE)";18
"2016";"AC";"EPITACIOLANDIA";"MUNICIPAL";"CRECHE";234
"2016";"AC";"EPITACIOLANDIA";"MUNICIPAL";"ENSINO FUNDAMENTAL";1493
"2016";"AC";"EPITACIOLANDIA";"MUNICIPAL";"PRÉ-ESCOLA";425
"2016";"AC";"FEIJO";"ESTADUAL";"ATENDIMENTO EDUCACIONAL ESPECIALIZADO (AEE)";102
"2016";"AC";"FEIJO";"ESTADUAL";"EDUCAÇÃO DE JOVENS E ADULTOS (EJA)";805
"2016";"AC";"FEIJO";"ESTADUAL";"ENSINO FUNDAMENTAL";3591
"2016";"AC";"FEIJO";"ESTADUAL";"ENSINO MÉDIO";1613
"2016";"AC";"FEIJO";"ESTADUAL";"INDÍGENA";1474
"2016";"AC";"FEIJO";"MUNICIPAL";"ATENDIMENTO EDUCACIONAL ESPECIALIZADO (AEE)";51
"2016";"AC";"FEIJO";"MUNICIPAL";"EDUCAÇÃO DE JOVENS E ADULTOS (EJA)";361
"2016";"AC";"FEIJO";"MUNICIPAL";"ENSINO FUNDAMENTAL";3316
"2016";"AC";"FEIJO";"MUNICIPAL";"PRÉ-ESCOLA";1028
"2016";"AC";"JORDAO";"ESTADUAL";"ATENDIMENTO EDUCACIONAL ESPECIALIZADO (AEE)";13
"2016";"AC";"JORDAO";"ESTADUAL";"EDUCAÇÃO DE JOVENS E ADULTOS (EJA)";70
"2016";"AC";"JORDAO";"ESTADUAL";"ENSINO FUNDAMENTAL";380
"2016";"AC";"JORDAO";"ESTADUAL";"ENSINO MÉDIO";477
"2016";"AC";"JORDAO";"ESTADUAL";"INDÍGENA";99
